,trip_start_geog_Long,trip_start_geog_Lat,trip_end_geog_Long,trip_end_geog_Lat,time_start,time_end,trip_distance_meters,trip_duration_seconds
732,22.9470416666667,40.63436166666671,22.9633266666667,40.609984999999995,12,12,3085,407
733,22.9485516666667,40.582475,22.9636616666667,40.596771666666704,22,22,2444,463
734,22.956471666666694,40.602123333333296,22.9601583333333,40.6179633333333,7,7,2160,488
735,22.952635,40.61998,22.950715,40.588325,12,12,3808,511
736,22.939239999999998,40.65459666666671,22.939729999999997,40.6420883333333,18,18,1641,566
737,22.9643433333333,40.6022633333333,22.9393716666667,40.6348216666667,18,19,4487,1167
738,22.9624416666667,40.6213,22.9439983333333,40.6360933333333,1,1,2350,330
739,22.9631733333333,40.612103333333295,22.9844283333333,40.611968333333294,2,2,2019,305
740,22.944245000000002,40.63551,22.906876666666694,40.65303,14,14,4493,775
741,22.9855416666667,40.6116966666667,22.94482,40.6317533333333,17,18,4419,1177
742,22.953181666666694,40.60671166666671,22.977166666666694,40.6095716666667,13,13,2385,582
743,22.8981066666667,40.6627783333333,22.9382766666667,40.638943333333295,21,22,4446,609
744,22.9379433333333,40.6685316666667,22.9527483333333,40.6858333333333,8,9,2370,347
745,22.9446333333333,40.630843333333296,22.954331666666693,40.604203333333295,9,9,3714,420
746,22.936493333333306,40.63431666666671,22.946688333333306,40.6303916666667,6,6,1104,218
747,22.9728733333333,40.61633666666671,22.941454999999998,40.6666016666667,7,8,7386,1645
748,22.9160833333333,40.6733183333333,22.9083383333333,40.665105,12,13,1223,306
749,22.937721666666693,40.6357316666667,22.8732383333333,40.655198333333296,14,14,7227,649
750,22.9482966666667,40.6382016666667,22.9566333333333,40.589848333333286,8,8,6488,1048
751,22.9664416666667,40.607961666666704,22.944715,40.631826666666704,17,17,3543,761
752,22.97607,40.607859999999995,22.9588733333333,40.627328333333296,10,10,2745,529
753,22.9057433333333,40.666709999999995,22.9425983333333,40.658475,13,13,3876,707
754,22.94445,40.6308366666667,22.9739133333333,40.5991483333333,15,15,4657,895
755,22.969225,40.6029333333333,22.9586733333333,40.627638333333294,9,9,2797,572
756,22.944229999999997,40.64029166666671,22.931263333333305,40.64795166666672,17,17,1623,328
757,22.9477716666667,40.663033333333296,22.920096666666694,40.6454233333333,5,5,3627,473
758,22.936529999999998,40.6456566666667,22.9410083333333,40.637785,17,17,977,273
759,23.032535,40.59167,22.963791666666694,40.6130383333333,0,0,7134,844
760,22.9405483333333,40.637783333333296,22.962976666666695,40.6190133333333,15,15,2948,446
761,22.948,40.62872,22.9611216666667,40.621334999999995,3,3,1567,212
762,22.94819,40.638316666666704,22.9485966666667,40.633841666666704,13,13,602,236
763,22.930558333333305,40.650115,22.9714433333333,40.6233983333333,14,14,5278,1030
764,22.9533,40.602258333333296,22.95111,40.630534999999995,20,21,3239,395
765,22.9498383333333,40.600165000000004,22.9533983333333,40.5934883333333,11,11,946,237
766,22.9640883333333,40.584270000000004,22.9602133333333,40.589125,13,13,634,221
767,22.943956666666693,40.63599166666671,22.923083333333306,40.652398333333295,10,11,2943,726
768,22.89443,40.6683316666667,22.97379500000001,40.599478333333295,14,15,10811,1628
769,22.94087,40.6375883333333,22.9523383333333,40.631578333333294,13,13,1096,239
770,22.9385683333333,40.634175,22.9535533333333,40.6114066666667,20,20,3264,588
771,22.9659216666667,40.60855166666671,22.9645116666667,40.617368333333296,17,17,1211,277
772,22.958866666666694,40.5806633333333,22.9375533333333,40.63786500000001,10,10,7437,1164
773,22.9415816666667,40.632583333333294,22.910366666666693,40.643286666666704,20,20,3313,485
774,22.9632283333333,40.59765166666672,22.9602933333333,40.6300516666667,8,8,4334,1412
775,22.97061,40.599245,22.947651666666694,40.62923,11,12,4309,1132
776,22.954178333333306,40.58779000000001,22.94817,40.5783666666667,2,2,1247,312
777,22.958675,40.584235,22.945829999999997,40.63095666666671,21,21,5806,1125
778,22.9203016666667,40.6471266666667,22.9440533333333,40.635788333333295,21,21,2430,384
779,22.944760000000002,40.630773333333295,22.960855,40.613018333333294,12,12,2608,432
780,22.956905,40.60479,22.96831,40.609565,17,17,1355,513
781,22.969875,40.6095183333333,22.93357,40.6378533333333,16,16,4741,839
782,22.925915,40.67608666666671,22.94585,40.634958333333294,13,13,5692,984
783,22.968220000000002,40.6136133333333,22.941023333333305,40.633855,10,10,3580,1195
784,22.98657,40.6007716666667,22.9431383333333,40.6306933333333,16,17,5813,1037
785,22.954593333333307,40.6163316666667,22.920608333333305,40.647828333333294,7,7,4839,684
786,22.9485733333333,40.627485,22.953171666666695,40.6010583333333,13,13,3284,391
787,22.9384683333333,40.6344,22.958138333333306,40.5842433333333,14,14,6128,931
788,22.9371933333333,40.6338483333333,22.96874,40.61652,6,6,3590,457
789,22.9445583333333,40.6309383333333,22.9859116666667,40.6113083333333,19,20,4559,750
790,22.939381666666694,40.6393583333333,22.954638333333307,40.600875,0,0,5505,745
791,22.968475,40.604855,22.94789,40.6291566666667,15,15,3347,804
792,22.95447,40.616155,22.950673333333306,40.60188166666671,12,12,1748,274
793,22.9661783333333,40.6082233333333,22.942145,40.63323,12,13,3523,910
794,22.96903,40.60349,22.92285,40.653445,9,10,7522,2176
795,22.953685,40.584773333333295,22.9326616666667,40.6401866666667,11,11,7584,1702
796,22.948223333333306,40.62760166666671,22.951695,40.6040133333333,2,2,2825,314
797,22.976238333333306,40.615365000000004,22.9628683333333,40.62607666666671,21,22,1943,296
798,22.9448016666667,40.630903333333286,22.952165,40.60058,2,2,3712,375
799,22.935908333333305,40.6359816666667,22.95611,40.619398333333294,4,4,2833,354
800,22.93604,40.6641366666667,22.9488783333333,40.6337,9,9,4080,807
801,22.9630933333333,40.612976666666704,22.947246666666693,40.6386183333333,14,14,3593,751
802,22.931163333333306,40.648878333333286,22.9474983333333,40.630708333333295,18,18,2870,1114
803,22.960815,40.595651666666704,22.945478333333305,40.63507666666671,16,16,5258,849
804,22.9228683333333,40.6531966666667,22.9449283333333,40.642301666666704,17,17,2661,775
805,22.9049933333333,40.67013,22.928214999999998,40.6717483333333,20,20,2345,504
806,22.9454966666667,40.630308333333296,22.962043333333305,40.59028166666671,19,20,5259,907
807,22.9533316666667,40.6225,22.941805,40.633433333333286,14,14,1677,277
808,22.938866666666694,40.6341433333333,22.973283333333306,40.604608333333296,3,3,4716,795
