	20	30	40	50	60	70	80	90	100	110	120	130
CO	2.079341583	1.591294678	1.300911698	1.095972676	0.903168741	0.840874868	0.829262467	0.86234097	0.94637541	1.097029095	1.304023527	1.605808437
CO2	1.517528452	1.244684513	1.086596385	0.987780053	0.927364292	0.920398755	0.933772123	0.972399541	1.029337516	1.110702788	1.215643176	1.348176463
NOX	0.748674422	0.764352587	0.793449522	0.834329653	0.89717617	0.959514611	1.032251673	1.115582225	1.206099069	1.312748778	1.434024227	1.57750856
PM	1.469815223	1.247037341	1.077295274	0.960589023	0.838117875	0.827483255	0.869884451	0.974761661	1.123234488	1.32474313	1.579287588	1.886867861
VOC	2.217630357	1.792370709	1.548261512	1.368993399	0.961813968	0.891724476	0.845848035	0.817095617	0.764055276	0.774324609	0.79908789	0.840025583
