link	length	PCE	speed
188	0.0102	0.0000	30.0000
189	0.3059	419.9713	69.9981
190	0.0785	419.9713	69.9689
191	0.0113	103.4279	49.9999
192	0.0089	307.8457	69.9994
193	0.0405	138.5198	50.0000
194	0.0397	0.0000	30.0000
195	0.0283	52.9584	30.0000
196	0.1385	47.2048	30.0000
197	0.0688	43.3447	30.0000
198	0.0636	32.8380	30.0000
199	0.1440	43.3447	30.0000
200	0.0281	76.1827	30.0000
201	0.0051	0.0000	30.0000
202	0.0095	446.9846	69.9995
203	0.0242	94.8321	49.9999
204	0.1456	0.0000	30.0000
205	0.1676	0.0000	30.0000
206	0.0531	0.0000	30.0000
207	0.0269	0.0000	30.0000
208	0.0562	419.9713	69.9689
209	0.0211	419.9713	69.9981
210	0.0747	0.0000	50.0000
211	0.0531	0.0000	50.0000
212	0.1190	0.0000	50.0000
213	0.2261	0.0000	50.0000
214	0.1741	0.0000	50.0000
215	0.2601	0.0000	50.0000
216	0.0323	300.4502	69.9919
217	0.0506	238.4986	69.9998
218	0.1968	0.8724	50.0000
219	0.0554	0.0000	50.0000
220	0.1384	0.0000	50.0000
221	0.1888	115.1701	49.9999
222	0.1174	119.7615	49.9999
223	0.0066	62.4958	30.0000
224	0.1732	22.8446	30.0000
225	0.0171	22.1215	30.0000
226	0.0542	0.0000	50.0000
227	0.3050	132.6417	69.9997
228	0.4791	118.5962	69.9998
229	0.2800	0.0000	50.0000
230	0.0480	99.5075	69.9999
231	0.3203	98.6906	69.9999
232	0.0558	0.0000	20.0000
233	0.0919	0.0000	20.0000
234	0.2479	0.0000	20.0000
235	0.0119	0.0000	50.0000
236	0.0130	0.0000	50.0000
237	0.2266	0.0000	50.0000
238	0.0060	32.2387	50.0000
239	0.1415	45.1954	50.0000
240	0.0969	32.2387	50.0000
241	0.1911	0.0000	30.0000
242	0.0855	0.0042	30.0000
243	0.0772	0.0000	30.0000
244	0.1989	179.5380	69.9990
245	0.0664	197.0334	69.9985
246	0.0734	0.0000	50.0000
247	0.1769	0.0000	50.0000
248	0.0722	0.0000	50.0000
249	0.1143	211.8735	69.9980
250	0.4562	200.6497	69.9984
251	0.1532	2.1928	50.0000
252	0.5409	0.0000	70.0000
253	0.0154	419.9713	69.9689
254	0.0049	0.0000	30.0000
255	0.0101	419.9713	69.9689
256	0.0248	164.2098	29.9997
257	0.0142	0.0000	30.0000
258	0.0379	138.5198	29.9998
259	0.6935	0.0000	50.0000
260	0.5719	14.7565	50.0000
261	0.6779	6.9805	50.0000
262	0.1666	255.1180	49.9970
263	0.0608	346.5943	49.9897
264	0.0174	255.1180	50.0000
265	0.0134	346.5943	49.9897
266	0.0234	0.0000	70.0000
267	0.2849	0.0000	50.0000
268	0.2228	182.8360	69.9989
269	0.0580	0.0000	50.0000
270	0.1973	179.9252	69.9990
271	0.2112	0.0000	50.0000
272	0.1525	16.3721	50.0000
273	0.4280	12.8656	50.0000
274	0.1692	0.0000	50.0000
275	0.2014	0.0000	50.0000
276	0.2966	0.0000	50.0000
277	0.0115	24.7572	30.0000
278	0.0932	40.3501	30.0000
279	0.0156	1.1338	30.0000
280	0.0638	49.1506	30.0000
281	0.1742	0.0000	50.0000
282	0.0252	333.8973	49.9911
283	0.0485	280.2892	49.9956
284	0.1065	0.0000	50.0000
285	0.0577	0.0000	50.0000
286	0.0429	0.0000	50.0000
287	0.0311	0.0000	50.0000
288	0.0314	0.0000	50.0000
289	0.0387	1.8255	50.0000
290	0.3172	0.0000	50.0000
291	0.3173	3.1608	50.0000
292	0.0045	182.2720	29.9995
293	0.1458	0.0000	30.0000
294	0.0421	128.6646	29.9999
295	0.5098	0.0000	50.0000
296	0.2135	3.1608	50.0000
297	0.5367	3.1607	50.0000
298	0.2714	0.0001	30.0000
299	0.0255	12.8656	50.0000
300	0.0990	0.0000	50.0000
301	0.2149	16.3721	50.0000
302	0.1819	5.4565	50.0000
303	0.1984	1.5718	50.0000
304	0.2268	12.8656	50.0000
305	0.1077	16.3721	50.0000
306	0.2806	0.0001	30.0000
307	0.3887	0.0000	30.0000
308	0.1728	0.0000	50.0000
309	0.0440	0.0000	50.0000
310	0.0138	8.2840	50.0000
311	0.0535	28.6253	50.0000
312	0.0568	0.0000	50.0000
313	0.0317	0.0000	50.0000
314	0.0055	0.2418	50.0000
315	0.0169	94.7735	49.9999
316	0.0083	213.5538	49.9985
317	0.0067	37.0177	50.0000
318	0.0736	93.3416	49.9999
319	0.0079	157.2299	69.9994
320	0.5113	29.0271	50.0000
321	0.6199	106.3680	69.9999
322	0.3917	252.5089	69.9959
323	0.3398	25.1603	50.0000
324	0.1915	26.3679	50.0000
325	0.0336	0.0000	50.0000
326	0.0984	0.0000	50.0000
327	0.0832	0.0000	50.0000
328	0.0362	0.0000	30.0000
329	0.0529	10.9604	50.0000
330	1.0208	0.8570	50.0000
331	0.6208	17.6248	50.0000
332	0.0419	7.5359	30.0000
333	0.0720	0.0000	30.0000
334	0.0451	7.5359	30.0000
335	0.0130	0.0000	50.0000
336	0.0420	0.0000	50.0000
337	0.1647	0.0000	50.0000
338	0.1042	0.0000	50.0000
339	0.0383	0.0000	50.0000
340	0.1858	0.0000	50.0000
341	0.1102	0.0301	30.0000
342	0.4250	0.0000	30.0000
343	0.0829	0.0360	30.0000
344	0.1011	0.0000	30.0000
345	0.1565	0.0000	30.0000
346	0.0962	0.1647	30.0000
347	0.1966	0.0000	30.0000
348	0.0734	0.0000	50.0000
349	0.0600	0.0000	50.0000
350	0.0144	889.9700	69.3781
351	0.3145	244.2644	69.9964
352	0.0745	0.0000	30.0000
353	0.2500	24.5152	20.0000
354	0.2643	24.3807	20.0000
355	0.1915	2.3392	50.0000
356	0.4660	39.9755	50.0000
357	0.0292	0.0000	30.0000
358	0.1094	0.0000	30.0000
359	0.1170	0.0000	30.0000
360	0.0269	128.6646	49.9998
361	0.0123	107.3321	29.9999
362	0.0417	156.7869	29.9997
363	0.0694	0.0000	50.0000
364	0.1597	0.0000	50.0000
365	0.1259	1.8255	50.0000
366	0.6403	3.1608	50.0000
367	0.2845	47.2785	50.0000
368	0.1576	42.4333	50.0000
369	0.2653	0.0000	50.0000
370	0.1255	4.7536	50.0000
371	0.0561	25.7571	30.0000
372	0.0129	27.3837	30.0000
373	0.0078	68.9327	30.0000
374	0.0807	0.2564	30.0000
375	0.1065	28.8691	30.0000
376	0.2031	19.6428	30.0000
377	0.1164	59.5722	30.0000
378	0.1811	59.5722	30.0000
379	0.0529	0.0000	30.0000
380	0.0112	0.0000	50.0000
381	0.1255	0.0000	50.0000
382	0.0174	328.8304	49.9916
383	0.1173	260.8001	49.9967
384	0.0081	0.0000	50.0000
385	0.0782	0.0000	50.0000
386	0.1914	0.0000	50.0000
387	0.1999	0.0000	50.0000
388	0.0754	0.0000	50.0000
389	0.0693	0.0000	50.0000
390	0.0495	0.0000	50.0000
391	0.0892	3.1671	50.0000
392	0.0192	0.0000	50.0000
393	0.0207	0.0000	50.0000
394	0.0211	0.0000	50.0000
395	0.0346	3.1671	50.0000
396	0.0226	0.0000	50.0000
397	0.0189	3.1671	50.0000
398	0.0434	293.2945	69.9926
399	0.0852	175.0608	69.9991
400	0.1966	0.0000	50.0000
401	0.0864	35.8565	50.0000
402	0.1354	34.8023	30.0000
403	0.2061	126.6275	49.9998
404	0.2650	198.3272	49.9989
405	0.0540	208.4395	49.9987
406	0.0078	27.4454	50.0000
407	0.0297	235.8849	49.9978
408	0.2263	0.0000	50.0000
409	0.5648	128.6646	49.9998
410	0.2639	178.7716	49.9993
411	0.0524	131.4395	49.9998
412	0.3018	124.3674	49.9998
413	0.0818	123.4192	49.9998
414	0.0919	195.2205	49.9990
415	0.0944	195.2205	49.9990
416	0.0308	135.6865	49.9998
417	0.0325	0.0000	50.0000
418	0.1336	0.0000	50.0000
419	0.1618	0.0000	50.0000
420	0.0538	0.0000	30.0000
421	0.0079	0.0000	30.0000
422	0.0188	1.2667	30.0000
423	0.0186	43.2151	30.0000
424	0.1986	0.0000	20.0000
